mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.966686964035034,0.41409769555736103,0.7786795139312744,0.056485976802035,200,5,1,sqrt,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",0.9977816935999783,0.9976425903140582,0.9980189354681542,0.9977269246254992,0.997215481934635,0.997677125188465,0.00026250941136407027,1
14.544650459289551,0.37956499175333863,0.464432954788208,0.04267602847983684,100,2,1,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",0.9977600046908801,0.9977186477777085,0.9978850329059891,0.9975466912801468,0.997235685930425,0.9976292125170299,0.00022459842337021978,2
14.419971561431884,1.3199305768262994,0.7353827476501464,0.14988266354867466,100,5,1,log2,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30}",0.997606532020919,0.9976977720183279,0.9979616833101947,0.997645042232325,0.9972314141554123,0.9976284887474357,0.0002341978375688336,3
40.42182898521423,1.5432757636346657,1.1862674713134767,0.07417514965133587,300,5,1,log2,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9977373634924165,0.997638379746789,0.9978673474071593,0.9976126321771456,0.9972684680211407,0.9976248381689302,0.00019940146531761054,4
46.20878448486328,0.6649956157890059,1.1446299076080322,0.03496707201797261,300,5,1,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",0.9977150691896919,0.9976091741775835,0.9981194890733032,0.9975786236952189,0.9971017491062328,0.997624821048406,0.0003252151468053282,5
28.201670265197755,0.2975798359154933,0.9394724369049072,0.09010659488426138,200,2,1,log2,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",0.9976927460299061,0.9975756370056768,0.9979452090250486,0.9976467129000336,0.997129257853103,0.9975979125627535,0.0002653763853300286,6
14.764692735671996,0.40929759347389993,0.46886601448059084,0.07867379327846753,100,10,1,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",0.9974639497914546,0.9976005610660953,0.9979104674054795,0.9974647806797984,0.9972893674116812,0.9975458252709017,0.0002073655453650437,7
35.4351007938385,0.7455893306844414,0.9619252204895019,0.03053490441681717,200,10,1,sqrt,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",0.9975235305909276,0.997664158921757,0.9979514187947249,0.9974097902370003,0.9971603513317946,0.997541849975241,0.00026306755236957306,8
43.60313353538513,0.9842852002817102,1.3418092250823974,0.08383439051206559,300,10,1,log2,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9976517734165511,0.9977306944053488,0.9977887558200496,0.9974768839718904,0.9968761945934388,0.9975048604414557,0.00033141648082077877,9
26.245571660995484,0.7315696972371613,0.6018841743469239,0.25812046224342206,200,10,1,log2,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.997589816776737,0.9976191510618855,0.9977895257979812,0.9974093785476587,0.9969724462208748,0.9974760636810274,0.00027919517090826496,10
